Name,Handedness,Height (inches),Height (m),Weight (pounds),Weight (kg),AVG,Home Runs,BMI,Rounded BMI,BMI Category,Average Home Runs
Cecil Cooper,L,74,1.8796,165,74.84268,0.298,241,21.18451169,21,Normal,42.15
Ben Oglivie,L,74,1.8796,160,72.57472,0.273,235,20.54255679,21,Normal,0
Leo Cardenas,R,71,1.8034,150,68.0388,0.257,118,20.9205219,21,Normal,0
Juan Beniquez,R,71,1.8034,150,68.0388,0.274,79,20.9205219,21,Normal,0
Enos Cabell,R,76,1.9304,170,77.11064,0.277,60,20.69282047,21,Normal,0
David Green,R,75,1.905,170,77.11064,0.268,31,21.24830774,21,Normal,0
Johnnie LeMaster,R,74,1.8796,165,74.84268,0.222,22,21.18451169,21,Normal,0
Bill Voss,L,74,1.8796,160,72.57472,0.227,19,20.54255679,21,Normal,0
Dick Simpson,R,76,1.9304,176,79.832192,0.207,15,21.42315531,21,Normal,0
Sandy Alomar,B,69,1.7526,140,63.50288,0.245,13,20.67415687,21,Normal,0
Alan Wiggins,B,74,1.8796,160,72.57472,0.259,5,20.54255679,21,Normal,0
Frank Taveras,R,72,1.8288,155,70.30676,0.255,2,21.02154629,21,Normal,0
Danny Ainge,R,76,1.9304,175,79.3786,0.22,2,21.30143284,21,Normal,0
Jose Arcia,R,75,1.905,170,77.11064,0.215,1,21.24830774,21,Normal,0
Win Remmerswaal,R,74,1.8796,160,72.57472,0,0,20.54255679,21,Normal,0
Dave Rajsich,L,77,1.9558,175,79.3786,0,0,20.75174162,21,Normal,0
Oswaldo Peraza,R,76,1.9304,172,78.017824,0,0,20.93626542,21,Normal,0
Tony Ferreira,L,73,1.8542,160,72.57472,0,0,21.10922143,21,Normal,0
Charlie Mitchell,R,75,1.905,170,77.11064,0,0,21.24830774,21,Normal,0
Jim Dorsey,R,79,2.0066,190,86.18248,0,0,21.40411972,21,Normal,0
Tony Perez,R,74,1.8796,175,79.3786,0.279,379,22.46842149,22,Normal,29.30097087
Bobby Murcer,L,71,1.8034,160,72.57472,0.277,252,22.31522336,22,Normal,0
Oscar Gamble,L,71,1.8034,160,72.57472,0.265,200,22.31522336,22,Normal,0
Cesar Cedeno,R,74,1.8796,175,79.3786,0.285,199,22.46842149,22,Normal,0
Don Money,R,73,1.8542,170,77.11064,0.261,176,22.42854777,22,Normal,0
Jose Cardenal,R,70,1.778,150,68.0388,0.275,138,21.5225206,22,Normal,0
Davey Johnson,R,73,1.8542,170,77.11064,0.261,136,22.42854777,22,Normal,0
Garry Maddox,R,75,1.905,175,79.3786,0.285,117,21.87325797,22,Normal,0
Johnny Grubb,L,75,1.905,175,79.3786,0.278,99,21.87325797,22,Normal,0
Jerry Morales,R,70,1.778,155,70.30676,0.259,95,22.23993795,22,Normal,0
Mike Davis,L,74,1.8796,175,79.3786,0.259,91,22.46842149,22,Normal,0
Glenn Hubbard,R,69,1.7526,150,68.0388,0.244,70,22.15088236,22,Normal,0
Charley Smith,R,73,1.8542,170,77.11064,0.239,69,22.42854777,22,Normal,0
Art Shamsky,L,73,1.8542,168,76.203456,0.253,68,22.1646825,22,Normal,0
Bobby Knoop,R,73,1.8542,170,77.11064,0.236,56,22.42854777,22,Normal,0
Cesar Geronimo,L,72,1.8288,165,74.84268,0.258,51,22.37777508,22,Normal,0
Paul Casanova,R,76,1.9304,180,81.64656,0.225,50,21.91004521,22,Normal,0
Derrel Thomas,B,72,1.8288,160,72.57472,0.249,43,21.69966068,22,Normal,0
Andres Thomas,R,73,1.8542,170,77.11064,0.234,42,22.42854777,22,Normal,0
Rennie Stennett,R,71,1.8034,160,72.57472,0.274,41,22.31522336,22,Normal,0
Jerry Royster,R,72,1.8288,165,74.84268,0.249,40,22.37777508,22,Normal,0
Damaso Garcia,R,73,1.8542,165,74.84268,0.283,36,21.7688846,22,Normal,0
Bill Almon,R,75,1.905,180,81.64656,0.254,36,22.4982082,22,Normal,0
Jake Wood,R,73,1.8542,163,73.935496,0.25,35,21.50501933,22,Normal,0
Ed Goodson,L,75,1.905,180,81.64656,0.26,30,22.4982082,22,Normal,0
Rey Quinones,R,71,1.8034,160,72.57472,0.243,29,22.31522336,22,Normal,0
Bob Dernier,R,72,1.8288,160,72.57472,0.255,23,21.69966068,22,Normal,0
Marty Perez,R,71,1.8034,160,72.57472,0.246,22,22.31522336,22,Normal,0
Ron Washington,R,71,1.8034,155,70.30676,0.261,20,21.61787263,22,Normal,0
Thad Bosley,L,75,1.905,175,79.3786,0.272,20,21.87325797,22,Normal,0
Mark Belanger,R,73,1.8542,170,77.11064,0.228,20,22.42854777,22,Normal,0
Rudy Law,L,73,1.8542,165,74.84268,0.271,18,21.7688846,22,Normal,0
Tony Scott,B,72,1.8288,164,74.389088,0.249,17,22.2421522,22,Normal,0
Larry Bowa,B,70,1.778,155,70.30676,0.26,15,22.23993795,22,Normal,0
Vern Fuller,R,73,1.8542,170,77.11064,0.232,14,22.42854777,22,Normal,0
Don Kessinger,B,73,1.8542,170,77.11064,0.252,14,22.42854777,22,Normal,0
Ken Hubbs,R,74,1.8796,175,79.3786,0.247,14,22.46842149,22,Normal,0
Rafael Santana,R,73,1.8542,165,74.84268,0.246,13,21.7688846,22,Normal,0
Larry Milbourne,B,72,1.8288,161,73.028312,0.254,11,21.83528356,22,Normal,0
Brian Giles,R,73,1.8542,165,74.84268,0.228,10,21.7688846,22,Normal,0
Dave Rosello,R,71,1.8034,160,72.57472,0.236,10,22.31522336,22,Normal,0
Joe Simpson,L,75,1.905,175,79.3786,0.242,9,21.87325797,22,Normal,0
Rick Auerbach,R,72,1.8288,165,74.84268,0.22,9,22.37777508,22,Normal,0
Luis Melendez,R,72,1.8288,165,74.84268,0.248,9,22.37777508,22,Normal,0
Domingo Ramos,R,70,1.778,154,69.853168,0.24,8,22.09645448,22,Normal,0
Dick Tracewski,R,71,1.8034,160,72.57472,0.213,8,22.31522336,22,Normal,0
Ed Romero,R,71,1.8034,160,72.57472,0.247,8,22.31522336,22,Normal,0
Jimmy Stewart,B,72,1.8288,165,74.84268,0.237,8,22.37777508,22,Normal,0
Curt Ford,L,70,1.778,150,68.0388,0.245,7,21.5225206,22,Normal,0
Doug Griffin,R,72,1.8288,160,72.57472,0.245,7,21.69966068,22,Normal,0
Al Weis,B,72,1.8288,160,72.57472,0.219,7,21.69966068,22,Normal,0
Sonny Jackson,L,69,1.7526,150,68.0388,0.251,7,22.15088236,22,Normal,0
Mario Guerrero,R,70,1.778,155,70.30676,0.257,7,22.23993795,22,Normal,0
Bud Harrelson,B,71,1.8034,160,72.57472,0.236,7,22.31522336,22,Normal,0
Ted Martinez,R,72,1.8288,165,74.84268,0.24,7,22.37777508,22,Normal,0
Jerry Kenney,L,73,1.8542,170,77.11064,0.237,7,22.42854777,22,Normal,0
Miguel Dilone,B,72,1.8288,160,72.57472,0.265,6,21.69966068,22,Normal,0
Wilbur Howard,B,74,1.8796,170,77.11064,0.25,6,21.82646659,22,Normal,0
Dal Maxvill,R,71,1.8034,157,71.213944,0.217,6,21.89681293,22,Normal,0
Buddy Biancalana,B,71,1.8034,160,72.57472,0.205,6,22.31522336,22,Normal,0
Luis Pujols,R,74,1.8796,175,79.3786,0.193,6,22.46842149,22,Normal,0
Albert Hall,B,71,1.8034,155,70.30676,0.251,5,21.61787263,22,Normal,0
Andre Robertson,R,70,1.778,155,70.30676,0.251,5,22.23993795,22,Normal,0
Roger Metzger,B,72,1.8288,165,74.84268,0.231,5,22.37777508,22,Normal,0
Frank Quilici,R,73,1.8542,170,77.11064,0.214,5,22.42854777,22,Normal,0
Tommy John,R,75,1.905,180,81.64656,0.157,5,22.4982082,22,Normal,0
John Donaldson,L,71,1.8034,160,72.57472,0.238,4,22.31522336,22,Normal,0
Tommy Dean,R,72,1.8288,165,74.84268,0.18,4,22.37777508,22,Normal,0
Rodney Scott,B,72,1.8288,160,72.57472,0.236,3,21.69966068,22,Normal,0
Mike Fischlin,R,73,1.8542,165,74.84268,0.22,3,21.7688846,22,Normal,0
Don Mason,L,71,1.8034,160,72.57472,0.205,3,22.31522336,22,Normal,0
Mark Wagner,R,72,1.8288,165,74.84268,0.243,3,22.37777508,22,Normal,0
Mike Edwards,R,70,1.778,154,69.853168,0.25,2,22.09645448,22,Normal,0
Mike Ramsey,B,73,1.8542,170,77.11064,0.24,2,22.42854777,22,Normal,0
Ken Holtzman,R,74,1.8796,175,79.3786,0.163,2,22.46842149,22,Normal,0
Gil Garrido,R,69,1.7526,150,68.0388,0.237,1,22.15088236,22,Normal,0
Steve Blass,R,72,1.8288,165,74.84268,0.172,1,22.37777508,22,Normal,0
Bob Randall,R,74,1.8796,175,79.3786,0.257,1,22.46842149,22,Normal,0
Francisco Barrios,R,71,1.8034,155,70.30676,0,0,21.61787263,22,Normal,0
Rafael Vasquez,R,72,1.8288,160,72.57472,0,0,21.69966068,22,Normal,0
Jim Wright,R,73,1.8542,165,74.84268,0,0,21.7688846,22,Normal,0
Luis Sanchez,R,74,1.8796,170,77.11064,0,0,21.82646659,22,Normal,0
Danny Fife,R,75,1.905,175,79.3786,0,0,21.87325797,22,Normal,0
Juan Nieves,L,75,1.905,175,79.3786,0,0,21.87325797,22,Normal,0
Eric Hetzel,R,75,1.905,175,79.3786,0,0,21.87325797,22,Normal,0
Larry Lintz,B,69,1.7526,150,68.0388,0.227,0,22.15088236,22,Normal,0
Luis Gomez,R,69,1.7526,150,68.0388,0.21,0,22.15088236,22,Normal,0
Jay Pettibone,R,76,1.9304,182,82.553744,0,0,22.15349015,22,Normal,0
Ramon Pena,R,70,1.778,155,70.30676,0,0,22.23993795,22,Normal,0
Tom Brown,R,73,1.8542,170,77.11064,0,0,22.42854777,22,Normal,0
Mickey Lolich,B,73,1.8542,170,77.11064,0.11,0,22.42854777,22,Normal,0
Tim Johnson,L,73,1.8542,170,77.11064,0.223,0,22.42854777,22,Normal,0
Steve Rogers,R,74,1.8796,175,79.3786,0.138,0,22.46842149,22,Normal,0
Ed Crosby,L,74,1.8796,175,79.3786,0.22,0,22.46842149,22,Normal,0
John Pawlowski,R,74,1.8796,175,79.3786,0,0,22.46842149,22,Normal,0
Jack Hardy,R,74,1.8796,175,79.3786,0,0,22.46842149,22,Normal,0
Luis Quintana,L,74,1.8796,175,79.3786,0,0,22.46842149,22,Normal,0
Curt Kaufman,R,74,1.8796,175,79.3786,0,0,22.46842149,22,Normal,0
Zach Crouch,L,75,1.905,180,81.64656,0,0,22.4982082,22,Normal,0
Mike Smith,R,75,1.905,180,81.64656,0,0,22.4982082,22,Normal,0
Craig Mitchell,R,75,1.905,180,81.64656,0,0,22.4982082,22,Normal,0
John Caneira,R,75,1.905,180,81.64656,0,0,22.4982082,22,Normal,0
Jeff Bettendorf,R,75,1.905,180,81.64656,0,0,22.4982082,22,Normal,0
Jimmy Wynn,R,70,1.778,160,72.57472,0.25,291,22.9573553,23,Normal,35.61654135
Dusty Baker,R,74,1.8796,183,83.007336,0.278,242,23.49554933,23,Normal,0
Bobby Grich,R,74,1.8796,180,81.64656,0.266,224,23.11037639,23,Normal,0
Tony Oliva,L,73,1.8542,175,79.3786,0.304,220,23.08821094,23,Normal,0
Amos Otis,R,71,1.8034,165,74.84268,0.277,193,23.01257409,23,Normal,0
Willie Davis,L,74,1.8796,180,81.64656,0.279,182,23.11037639,23,Normal,0
Tony Conigliaro,R,75,1.905,185,83.91452,0.264,166,23.12315842,23,Normal,0
Jose Cruz,L,72,1.8288,170,77.11064,0.284,165,23.05588948,23,Normal,0
Roy White,B,70,1.778,160,72.57472,0.271,160,22.9573553,23,Normal,0
Frank White,R,71,1.8034,165,74.84268,0.255,160,23.01257409,23,Normal,0
Willie Montanez,L,72,1.8288,170,77.11064,0.275,139,23.05588948,23,Normal,0
Paul Blair,R,72,1.8288,168,76.203456,0.25,134,22.78464372,23,Normal,0
Jody Davis,R,76,1.9304,192,87.089664,0.245,127,23.37071489,23,Normal,0
Ken Henderson,B,74,1.8796,180,81.64656,0.257,122,23.11037639,23,Normal,0
Chris Speier,R,73,1.8542,175,79.3786,0.246,112,23.08821094,23,Normal,0
Ollie Brown,R,74,1.8796,178,80.739376,0.265,102,22.85359443,23,Normal,0
Jay Johnstone,L,73,1.8542,175,79.3786,0.267,102,23.08821094,23,Normal,0
Rod Carew,L,72,1.8288,170,77.11064,0.328,92,23.05588948,23,Normal,0
Lee Lacy,R,73,1.8542,175,79.3786,0.286,91,23.08821094,23,Normal,0
Bert Campaneris,R,70,1.778,160,72.57472,0.259,79,22.9573553,23,Normal,0
Otto Velez,R,72,1.8288,170,77.11064,0.251,78,23.05588948,23,Normal,0
Julian Javier,R,73,1.8542,175,79.3786,0.257,78,23.08821094,23,Normal,0
Don Wert,R,70,1.778,162,73.481904,0.242,77,23.24432224,23,Normal,0
Danny Cater,R,72,1.8288,170,77.11064,0.276,66,23.05588948,23,Normal,0
Ellie Hendricks,L,73,1.8542,175,79.3786,0.22,62,23.08821094,23,Normal,0
Ed Brinkman,R,72,1.8288,170,77.11064,0.224,60,23.05588948,23,Normal,0
Adolfo Phillips,R,73,1.8542,175,79.3786,0.247,59,23.08821094,23,Normal,0
Paul Schaal,R,71,1.8034,165,74.84268,0.244,57,23.01257409,23,Normal,0
Gene Alley,R,70,1.778,160,72.57472,0.254,55,22.9573553,23,Normal,0
Cookie Rojas,R,70,1.778,160,72.57472,0.263,54,22.9573553,23,Normal,0
Rich Reese,L,75,1.905,185,83.91452,0.253,52,23.12315842,23,Normal,0
Larry Brown,R,70,1.778,160,72.57472,0.233,47,22.9573553,23,Normal,0
Cesar Tovar,R,69,1.7526,155,70.30676,0.278,46,22.88924511,23,Normal,0
Craig Reynolds,L,73,1.8542,175,79.3786,0.256,42,23.08821094,23,Normal,0
Dave Stapleton,R,73,1.8542,178,80.739376,0.271,41,23.48400884,23,Normal,0
Billy Cowan,R,72,1.8288,170,77.11064,0.236,40,23.05588948,23,Normal,0
Omar Moreno,L,74,1.8796,180,81.64656,0.252,37,23.11037639,23,Normal,0
Vic Davalillo,L,67,1.7018,150,68.0388,0.279,36,23.49306102,23,Normal,0
Rowland Office,L,72,1.8288,170,77.11064,0.259,32,23.05588948,23,Normal,0
Chico Salmon,R,70,1.778,160,72.57472,0.249,31,22.9573553,23,Normal,0
Manny Mota,R,70,1.778,160,72.57472,0.304,31,22.9573553,23,Normal,0
Ken Boswell,L,72,1.8288,170,77.11064,0.248,31,23.05588948,23,Normal,0
Dave Rader,L,71,1.8034,165,74.84268,0.257,30,23.01257409,23,Normal,0
Felix Torres,R,71,1.8034,165,74.84268,0.254,27,23.01257409,23,Normal,0
Eddie Leon,R,72,1.8288,170,77.11064,0.236,24,23.05588948,23,Normal,0
Chuck Schilling,R,70,1.778,160,72.57472,0.239,23,22.9573553,23,Normal,0
Glenn Hoffman,R,73,1.8542,175,79.3786,0.242,23,23.08821094,23,Normal,0
Reid Nichols,R,71,1.8034,165,74.84268,0.266,22,23.01257409,23,Normal,0
Bobby Mitchell,R,75,1.905,185,83.91452,0.235,21,23.12315842,23,Normal,0
Dave Nelson,R,70,1.778,160,72.57472,0.244,20,22.9573553,23,Normal,0
Bruce Benedict,R,73,1.8542,175,79.3786,0.242,18,23.08821094,23,Normal,0
Hosken Powell,L,73,1.8542,175,79.3786,0.259,17,23.08821094,23,Normal,0
Pepe Mangual,R,70,1.778,157,71.213944,0.242,16,22.52690489,23,Normal,0
Ray Oyler,R,71,1.8034,165,74.84268,0.175,15,23.01257409,23,Normal,0
Gene Michael,B,74,1.8796,183,83.007336,0.229,15,23.49554933,23,Normal,0
Dave Edwards,R,72,1.8288,170,77.11064,0.237,14,23.05588948,23,Normal,0
Tom Veryzer,R,73,1.8542,175,79.3786,0.241,14,23.08821094,23,Normal,0
Rod Gilbreath,R,74,1.8796,180,81.64656,0.248,14,23.11037639,23,Normal,0
Tim Harkness,L,74,1.8796,182,82.553744,0.235,14,23.36715835,23,Normal,0
Vic Harris,B,71,1.8034,165,74.84268,0.217,13,23.01257409,23,Normal,0
Jim Anderson,R,72,1.8288,170,77.11064,0.218,13,23.05588948,23,Normal,0
Jackie Hernandez,R,71,1.8034,165,74.84268,0.208,12,23.01257409,23,Normal,0
Brian Asselstine,L,73,1.8542,175,79.3786,0.254,12,23.08821094,23,Normal,0
Mike Phillips,L,72,1.8288,170,77.11064,0.24,11,23.05588948,23,Normal,0
Rufino Linares,R,72,1.8288,170,77.11064,0.27,11,23.05588948,23,Normal,0
Bob Meacham,B,73,1.8542,175,79.3786,0.236,8,23.08821094,23,Normal,0
Hal Lanier,R,74,1.8796,180,81.64656,0.228,8,23.11037639,23,Normal,0
Greg Gross,L,70,1.778,160,72.57472,0.287,7,22.9573553,23,Normal,0
Doug Flynn,R,71,1.8034,165,74.84268,0.238,7,23.01257409,23,Normal,0
Stan Papi,R,72,1.8288,170,77.11064,0.218,7,23.05588948,23,Normal,0
Tony Muser,L,74,1.8796,180,81.64656,0.259,7,23.11037639,23,Normal,0
Mel Stottlemyre,R,73,1.8542,178,80.739376,0.16,7,23.48400884,23,Normal,0
Brad Wellman,R,72,1.8288,170,77.11064,0.231,6,23.05588948,23,Normal,0
Ty Cline,L,72,1.8288,170,77.11064,0.238,6,23.05588948,23,Normal,0
Terry Humphrey,R,75,1.905,185,83.91452,0.211,6,23.12315842,23,Normal,0
Lenny Faedo,R,72,1.8288,170,77.11064,0.251,5,23.05588948,23,Normal,0
Joaquin Andujar,B,72,1.8288,170,77.11064,0.127,5,23.05588948,23,Normal,0
Wallace Johnson,B,72,1.8288,173,78.471416,0.255,5,23.46275811,23,Normal,0
Julio Gonzalez,R,71,1.8034,162,73.481904,0.235,4,22.59416366,23,Normal,0
Tom Matchick,L,73,1.8542,173,78.471416,0.215,4,22.82434567,23,Normal,0
Jerry Terrell,R,71,1.8034,165,74.84268,0.253,4,23.01257409,23,Normal,0
Mike Richardt,R,72,1.8288,170,77.11064,0.226,4,23.05588948,23,Normal,0
Terry Harmon,R,74,1.8796,180,81.64656,0.233,4,23.11037639,23,Normal,0
Bryan Little,B,70,1.778,160,72.57472,0.245,3,22.9573553,23,Normal,0
Jerry Dybzinski,R,74,1.8796,180,81.64656,0.234,3,23.11037639,23,Normal,0
Sam McDowell,L,77,1.9558,190,86.18248,0.154,2,22.53046233,23,Normal,0
Chico Ruiz,B,72,1.8288,169,76.657048,0.24,2,22.9202666,23,Normal,0
Nate Oliver,R,70,1.778,160,72.57472,0.226,2,22.9573553,23,Normal,0
Jack Perconte,L,70,1.778,160,72.57472,0.27,2,22.9573553,23,Normal,0
Jose Tartabull,L,71,1.8034,165,74.84268,0.261,2,23.01257409,23,Normal,0
Pepe Frias,R,70,1.778,159,72.121128,0.24,1,22.81387183,23,Normal,0
Brock Davis,L,70,1.778,160,72.57472,0.26,1,22.9573553,23,Normal,0
Woody Woodward,R,74,1.8796,180,81.64656,0.236,1,23.11037639,23,Normal,0
John Butcher,R,76,1.9304,185,83.91452,0,0,22.51865757,23,Normal,0
Daryl Smith,R,76,1.9304,185,83.91452,0,0,22.51865757,23,Normal,0
Rick Jones,L,77,1.9558,190,86.18248,0,0,22.53046233,23,Normal,0
Rich Barnes,R,76,1.9304,186,84.368112,0,0,22.64038005,23,Normal,0
Cesar Gutierrez,R,69,1.7526,155,70.30676,0.235,0,22.88924511,23,Normal,0
Bill Wilkinson,R,70,1.778,160,72.57472,0,0,22.9573553,23,Normal,0
Narciso Elvira,L,70,1.778,160,72.57472,0,0,22.9573553,23,Normal,0
Marty Martinez,B,72,1.8288,170,77.11064,0.243,0,23.05588948,23,Normal,0
Joe Horlen,R,72,1.8288,170,77.11064,0.134,0,23.05588948,23,Normal,0
De Wayne Buice,R,72,1.8288,170,77.11064,0,0,23.05588948,23,Normal,0
Jerry Kutzler,L,73,1.8542,175,79.3786,0,0,23.08821094,23,Normal,0
Brian Allard,R,73,1.8542,175,79.3786,0,0,23.08821094,23,Normal,0
Mike Warren,R,73,1.8542,175,79.3786,0,0,23.08821094,23,Normal,0
Clint Zavaras,R,73,1.8542,175,79.3786,0,0,23.08821094,23,Normal,0
Byron McLaughlin,R,73,1.8542,175,79.3786,0,0,23.08821094,23,Normal,0
Jeff Sellers,R,73,1.8542,175,79.3786,0,0,23.08821094,23,Normal,0
Don Gordon,R,73,1.8542,175,79.3786,0,0,23.08821094,23,Normal,0
Ray Chadwick,B,74,1.8796,180,81.64656,0,0,23.11037639,23,Normal,0
Fernando Arroyo,R,74,1.8796,180,81.64656,0,0,23.11037639,23,Normal,0
Keith Creel,R,74,1.8796,180,81.64656,0,0,23.11037639,23,Normal,0
Mike Bacsik,R,74,1.8796,180,81.64656,0,0,23.11037639,23,Normal,0
Phil Huffman,R,74,1.8796,180,81.64656,0,0,23.11037639,23,Normal,0
Larry Rothschild,L,74,1.8796,180,81.64656,0,0,23.11037639,23,Normal,0
Jim Umbarger,L,78,1.9812,200,90.7184,0,0,23.11206463,23,Normal,0
Jeff Barkley,B,75,1.905,185,83.91452,0,0,23.12315842,23,Normal,0
Gary Mielke,R,75,1.905,185,83.91452,0,0,23.12315842,23,Normal,0
Rob Woodward,R,75,1.905,185,83.91452,0,0,23.12315842,23,Normal,0
Alfredo Martinez,R,75,1.905,185,83.91452,0,0,23.12315842,23,Normal,0
John Denny,R,75,1.905,185,83.91452,0.17,0,23.12315842,23,Normal,0
Brian Snyder,L,75,1.905,185,83.91452,0,0,23.12315842,23,Normal,0
Jeff Richardson,R,75,1.905,185,83.91452,0,0,23.12315842,23,Normal,0
Chris Knapp,R,77,1.9558,195,88.45044,0,0,23.12336924,23,Normal,0
Albert Williams,R,76,1.9304,190,86.18248,0,0,23.12726994,23,Normal,0
Dave Ford,R,76,1.9304,190,86.18248,0,0,23.12726994,23,Normal,0
T.R. Bryden,R,76,1.9304,190,86.18248,0,0,23.12726994,23,Normal,0
Mike Darr,R,76,1.9304,190,86.18248,0,0,23.12726994,23,Normal,0
Karl Best,R,76,1.9304,190,86.18248,0,0,23.12726994,23,Normal,0
Keith Macwhorter,R,76,1.9304,190,86.18248,0,0,23.12726994,23,Normal,0
Alan Wirth,R,76,1.9304,190,86.18248,0,0,23.12726994,23,Normal,0
Chuck Porter,R,75,1.905,187,84.821704,0,0,23.37313852,23,Normal,0
Willie Stargell,L,74,1.8796,188,85.275296,0.282,475,24.13750423,24,Normal,41.39588689
Carl Yastrzemski,L,71,1.8034,175,79.3786,0.285,452,24.40727556,24,Normal,0
Dave Kingman,R,78,1.9812,210,95.25432,0.236,442,24.26766786,24,Normal,0
Graig Nettles,L,72,1.8288,180,81.64656,0.248,390,24.41211827,24,Normal,0
Lee May,R,75,1.905,195,88.45044,0.267,354,24.37305888,24,Normal,0
George Foster,R,73,1.8542,180,81.64656,0.274,348,23.7478741,24,Normal,0
Reggie Smith,B,72,1.8288,180,81.64656,0.287,314,24.41211827,24,Normal,0
Fred Lynn,L,73,1.8542,185,83.91452,0.283,306,24.40753727,24,Normal,0
Rusty Staub,L,74,1.8796,190,86.18248,0.279,292,24.39428619,24,Normal,0
George Hendrick,R,75,1.905,195,88.45044,0.278,267,24.37305888,24,Normal,0
Larry Parrish,R,75,1.905,190,86.18248,0.263,256,23.74810865,24,Normal,0
Rick Monday,L,75,1.905,193,87.543256,0.264,241,24.12307879,24,Normal,0
Doug DeCinces,R,74,1.8796,190,86.18248,0.259,237,24.39428619,24,Normal,0
Gary Matthews,R,74,1.8796,185,83.91452,0.281,234,23.75233129,24,Normal,0
Joe Pepitone,L,74,1.8796,185,83.91452,0.258,219,23.75233129,24,Normal,0
Rico Petrocelli,R,72,1.8288,175,79.3786,0.251,210,23.73400387,24,Normal,0
Jason Thompson,L,76,1.9304,200,90.7184,0.261,208,24.34449467,24,Normal,0
Buddy Bell,R,73,1.8542,180,81.64656,0.279,201,23.7478741,24,Normal,0
Toby Harrah,R,72,1.8288,175,79.3786,0.264,195,23.73400387,24,Normal,0
Bob Bailey,R,73,1.8542,180,81.64656,0.257,189,23.7478741,24,Normal,0
Nate Colbert,R,74,1.8796,190,86.18248,0.243,173,24.39428619,24,Normal,0
Bill Robinson,R,74,1.8796,189,85.728888,0.258,166,24.26589521,24,Normal,0
Dwayne Murphy,L,73,1.8542,185,83.91452,0.246,166,24.40753727,24,Normal,0
Roy Smalley,B,73,1.8542,185,83.91452,0.257,163,24.40753727,24,Normal,0
Keith Hernandez,L,72,1.8288,180,81.64656,0.296,162,24.41211827,24,Normal,0
Jim Hickman,R,75,1.905,192,87.089664,0.252,159,23.99808874,24,Normal,0
Ken McMullen,R,75,1.905,190,86.18248,0.248,156,23.74810865,24,Normal,0
Tom Tresh,B,73,1.8542,180,81.64656,0.245,153,23.7478741,24,Normal,0
Jim Northrup,L,75,1.905,190,86.18248,0.267,153,23.74810865,24,Normal,0
Lou Brock,L,71,1.8034,170,77.11064,0.293,149,23.70992483,24,Normal,0
Sixto Lezcano,R,70,1.778,165,74.84268,0.271,148,23.67477266,24,Normal,0
Ruppert Jones,L,70,1.778,170,77.11064,0.25,147,24.39219001,24,Normal,0
Leon Durham,L,73,1.8542,185,83.91452,0.277,147,24.40753727,24,Normal,0
Tommy Harper,R,69,1.7526,165,74.84268,0.257,146,24.3659706,24,Normal,0
Tom Haller,L,76,1.9304,195,88.45044,0.257,134,23.73588231,24,Normal,0
Mack Jones,L,73,1.8542,180,81.64656,0.252,133,23.7478741,24,Normal,0
Ken Harrelson,R,74,1.8796,190,86.18248,0.239,131,24.39428619,24,Normal,0
Jorge Orta,L,70,1.778,170,77.11064,0.278,130,24.39219001,24,Normal,0
Jimmie Hall,L,72,1.8288,175,79.3786,0.254,121,23.73400387,24,Normal,0
Dan Ford,R,73,1.8542,185,83.91452,0.27,121,24.40753727,24,Normal,0
Mickey Stanley,R,73,1.8542,185,83.91452,0.248,117,24.40753727,24,Normal,0
John Lowenstein,L,72,1.8288,175,79.3786,0.253,116,23.73400387,24,Normal,0
Chuck Hinton,R,73,1.8542,180,81.64656,0.264,113,23.7478741,24,Normal,0
Jim Morrison,R,71,1.8034,175,79.3786,0.26,112,24.40727556,24,Normal,0
Dave Duncan,R,74,1.8796,190,86.18248,0.214,109,24.39428619,24,Normal,0
Larry Herndon,R,75,1.905,190,86.18248,0.274,107,23.74810865,24,Normal,0
Bruce Bochte,L,75,1.905,195,88.45044,0.282,100,24.37305888,24,Normal,0
Ozzie Virgil,R,73,1.8542,180,81.64656,0.243,98,23.7478741,24,Normal,0
Pete Ward,L,73,1.8542,185,83.91452,0.254,98,24.40753727,24,Normal,0
Bernie Carbo,L,71,1.8034,173,78.471416,0.264,96,24.12833526,24,Normal,0
Lee Mazzilli,B,73,1.8542,180,81.64656,0.259,93,23.7478741,24,Normal,0
Ken Landreaux,L,70,1.778,165,74.84268,0.268,91,23.67477266,24,Normal,0
Cito Gaston,R,75,1.905,190,86.18248,0.256,91,23.74810865,24,Normal,0
Alan Ashby,B,74,1.8796,185,83.91452,0.245,90,23.75233129,24,Normal,0
Mike Lum,L,72,1.8288,180,81.64656,0.247,90,24.41211827,24,Normal,0
Del Unser,L,73,1.8542,180,81.64656,0.258,87,23.7478741,24,Normal,0
Bobby Tolan,L,71,1.8034,170,77.11064,0.265,86,23.70992483,24,Normal,0
Ed Charles,R,70,1.778,170,77.11064,0.263,86,24.39219001,24,Normal,0
Ray Knight,R,73,1.8542,185,83.91452,0.271,84,24.40753727,24,Normal,0
Bobby Darwin,R,74,1.8796,190,86.18248,0.251,83,24.39428619,24,Normal,0
Randy Hundley,R,71,1.8034,170,77.11064,0.236,82,23.70992483,24,Normal,0
Roger Repoz,L,75,1.905,190,86.18248,0.224,82,23.74810865,24,Normal,0
Joel Youngblood,R,72,1.8288,180,81.64656,0.265,80,24.41211827,24,Normal,0
